method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,62,6200,57.562,650608,13657,523,1.1038,18.341,0.6684,-0.0047,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,63,6300,58.696,666932,16886,562,1.1339,18.421,0.6731,-0.0394,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,64,6400,59.845,679847,13429,514,1.1488,18.273,0.6701,-0.1301,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,65,6500,61.031,692454,13166,559,1.1867,18.467,0.672,-0.0124,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,66,6600,62.253,705056,13192,590,1.2215,18.423,0.6763,-0.0229,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,67,6700,63.437,717308,12801,549,1.1836,18.306,0.673,0.0083,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,68,6800,64.64,730226,13645,727,1.2031,18.502,0.6755,-0.1486,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,69,6900,65.837,743417,13811,620,1.1971,18.511,0.6847,-0.0023,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,70,7000,67.071,755665,12821,573,1.2348,18.511,0.6799,-0.1418,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,71,7100,68.271,767594,12600,671,1.1995,18.642,0.6833,0.013,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,72,7200,69.472,779183,12238,649,1.2014,18.672,0.6896,-0.1253,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,73,7300,70.695,791046,12549,686,1.223,18.555,0.6854,-0.1097,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,74,7400,71.934,802494,12167,719,1.2382,18.589,0.6882,-0.0368,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,75,7500,73.139,817022,15224,696,1.2052,18.613,0.6906,-0.0186,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,76,7600,74.335,829213,12932,741,1.1967,18.563,0.6886,-0.0662,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,77,7700,75.617,841429,12890,674,1.2817,18.704,0.6936,-0.0538,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,78,7800,76.867,854087,13482,824,1.2496,18.798,0.6948,-0.0533,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,79,7900,78.077,866416,13041,712,1.2105,18.699,0.696,-0.0674,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,80,8000,79.351,877589,11988,815,1.2735,18.78,0.6985,-0.0071,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,81,8100,80.6,889508,12750,831,1.2495,18.748,0.6955,-0.1774,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,82,8200,81.898,900678,11927,757,1.298,18.756,0.6996,-0.0205,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,83,8300,83.231,911958,12042,762,1.3324,18.723,0.7019,-0.0825,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,84,8400,84.575,922556,11359,761,1.344,18.896,0.7031,-0.0289,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,85,8500,85.929,933746,12028,838,1.3542,18.781,0.6979,-0.0905,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,86,8600,87.302,943956,10996,786,1.3729,18.952,0.7032,-0.0456,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,87,8700,88.643,956581,13423,798,1.3414,18.904,0.7076,-0.0793,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,88,8800,89.992,967870,12169,880,1.349,18.767,0.7074,-0.1154,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,89,8900,91.331,978445,11375,800,1.3392,18.748,0.7076,-0.0621,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,90,9000,92.689,988780,11119,784,1.3575,18.816,0.7086,-0.0588,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,91,9100,94.08,999561,11751,970,1.3915,18.805,0.7073,-0.0899,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,92,9200,95.458,1009412,10648,797,1.3782,18.956,0.7139,-0.0377,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,93,9300,96.822,1020457,11940,895,1.3631,18.951,0.7139,-0.0579,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,94,9400,98.239,1030606,11042,893,1.4171,18.963,0.71,-0.1092,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
