block,iter,t,gaussians,added,pruned,reward,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
68,6800,86.847,425878,2651,282,-0.0147,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
69,6900,88.453,428163,2581,296,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
70,7000,90.027,430434,2570,299,-0.0162,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
71,7100,91.588,432940,2756,250,-0.0159,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
72,7200,93.069,435550,2895,285,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
73,7300,94.636,438065,2785,270,-0.0182,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
74,7400,96.195,440895,3151,321,-0.0043,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
75,7500,97.739,443576,2935,254,-0.0159,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
76,7600,99.394,446194,2925,307,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
77,7700,100.951,448247,2320,267,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
78,7800,102.477,450845,2882,284,-0.027,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
79,7900,103.98,452830,2275,290,-0.011,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
80,8000,105.545,454677,2116,269,-0.0051,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
81,8100,107.098,457558,3173,292,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
82,8200,108.725,459181,1973,350,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
83,8300,110.299,461522,2669,328,-0.0453,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
84,8400,111.802,463474,2269,317,-0.0006,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
85,8500,113.313,465893,2706,287,-0.0148,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
86,8600,114.874,468070,2507,330,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
87,8700,116.474,469835,2045,280,-0.0385,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
88,8800,118.087,472544,3007,298,-0.0053,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
89,8900,119.689,473791,1587,340,0.0,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
90,9000,121.209,475593,2090,288,6.5184,100,default,100,opacity_and_size,reset_if_plateau,1.0,0.005,1.0,1.0,1.0,1.0,1.0
