method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,71,7100,107.521,689960,10482,668,2.18,18.94,0.6885,-0.0798,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,72,7200,109.735,699561,10228,627,2.2145,18.952,0.6936,-0.1066,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,73,7300,111.918,708812,9912,661,2.1827,18.814,0.689,-0.1513,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,74,7400,114.155,717816,9668,664,2.2373,18.757,0.692,-0.109,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,75,7500,116.313,729423,12273,666,2.1578,18.833,0.693,-0.1424,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,76,7600,118.564,739519,10773,677,2.2506,18.675,0.6906,-0.1113,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,77,7700,120.799,749316,10422,625,2.2357,18.871,0.6958,-0.1027,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,78,7800,123.054,760054,11520,782,2.2543,19.02,0.6956,-0.1209,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,79,7900,125.296,770321,10974,707,2.2426,18.869,0.6998,-0.1,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,80,8000,127.626,779228,9631,724,2.3298,18.895,0.7008,-0.108,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,81,8100,129.92,788423,10026,831,2.2941,18.971,0.7,-0.1392,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,82,8200,132.247,797352,9674,745,2.327,18.919,0.7012,-0.1343,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,83,8300,134.533,806260,9677,769,2.286,18.996,0.7048,-0.1111,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,84,8400,136.887,814759,9216,717,2.3536,19.148,0.707,-0.0955,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,85,8500,139.233,823759,9801,801,2.3466,18.989,0.7022,-0.1804,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,86,8600,141.642,831556,8566,769,2.4086,19.213,0.707,-0.091,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,87,8700,144.084,841380,10652,828,2.4424,19.182,0.7099,-0.1674,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,88,8800,146.51,850175,9634,839,2.4257,18.96,0.7081,-0.1689,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,89,8900,148.974,858139,8801,837,2.4635,19.089,0.7107,-0.1202,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,90,9000,151.366,866090,8694,743,2.3927,19.026,0.7136,-0.1167,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,91,9100,153.902,874692,9524,922,2.5353,18.972,0.7095,-0.1491,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,92,9200,156.452,882559,8622,755,2.5509,19.152,0.7154,-0.1205,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,93,9300,158.96,891390,9627,796,2.5074,19.163,0.715,-0.1211,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,94,9400,161.52,898891,8372,871,2.5598,19.043,0.7112,-0.1701,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,95,9500,164.062,906310,8260,841,2.5421,19.16,0.7159,-0.1057,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,96,9600,166.679,915925,10500,885,2.6169,19.272,0.7161,-0.1405,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,97,9700,169.24,924031,8889,783,2.5618,19.075,0.7162,-0.216,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,98,9800,171.829,930927,7732,836,2.5889,19.077,0.7185,-0.1294,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,99,9900,174.385,938453,8358,832,2.5562,19.18,0.7157,-0.1257,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,100,10000,177.124,946843,9168,778,2.7388,19.216,0.7211,-0.1349,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,101,10100,179.723,954815,8825,853,2.5983,19.172,0.7236,-0.128,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
