method,block,iter,t,gaussians,added,pruned,block_seconds,val_psnr,val_ssim,reward,stop_intent,block_steps,densify_mode,densification_interval,prune_mode,opacity_reset,stop,densify_threshold_mult,prune_opacity_threshold,position_lr_mult,feature_lr_mult,opacity_lr_mult,scaling_lr_mult,rotation_lr_mult
baseline,57,5700,50.096,591175,13601,458,1.0314,18.206,0.6583,0.0375,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,58,5800,51.148,606075,15507,607,1.0519,17.848,0.6559,-0.2957,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,59,5900,52.223,618853,13296,518,1.0749,18.174,0.6607,0.1886,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,60,6000,53.279,632483,14152,522,1.0562,18.226,0.6607,-0.178,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,61,6100,54.334,645381,13453,555,1.0548,18.376,0.6685,0.0972,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,62,6200,55.404,658380,13588,589,1.0709,18.409,0.6702,-0.0571,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,63,6300,56.485,674416,16670,634,1.0808,18.279,0.6728,-0.1015,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,64,6400,57.552,687267,13448,597,1.0664,18.37,0.6723,0.0083,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,65,6500,58.624,699861,13189,595,1.0722,18.43,0.6719,-0.1031,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,66,6600,59.716,712535,13281,607,1.0924,18.437,0.6778,-0.0059,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,67,6700,60.822,724889,13020,666,1.1053,18.283,0.6723,-0.0387,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,68,6800,61.944,737757,13657,789,1.1225,18.415,0.6743,-0.1874,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,69,6900,63.088,750712,13634,679,1.1441,18.588,0.6863,0.1077,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,70,7000,64.237,763127,13107,692,1.1489,18.621,0.6828,-0.0596,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,71,7100,65.357,775240,12839,726,1.1203,18.668,0.6839,-0.1135,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,72,7200,66.512,787027,12476,689,1.1544,18.757,0.6918,-0.0483,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,73,7300,67.655,798700,12418,745,1.1435,18.576,0.6867,-0.131,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,74,7400,68.828,810073,12069,696,1.1728,18.671,0.6915,0.0207,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,75,7500,69.974,824704,15352,721,1.1461,18.672,0.6908,-0.1307,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,76,7600,71.171,836741,12780,743,1.1964,18.615,0.6894,-0.0566,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,77,7700,72.393,849060,13027,708,1.2221,18.821,0.6944,-0.0268,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,78,7800,73.589,862043,13821,838,1.1962,18.793,0.6935,-0.1493,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
baseline,79,7900,74.779,874164,12856,735,1.1902,18.727,0.6976,-0.026,continue,100,default,100,opacity_and_size,reset_if_plateau,continue,1.0,0.005,1.0,1.0,1.0,1.0,1.0
